Nombre de Propiedad,Etiqueta,Tipo,Grupo,Descripción
hs_contact_enrichment_opt_out_timestamp,Enrichment opt out timestamp,datetime,contactinformation,Timestamp of when the contact opted out of being included in the HubSpot Enrichment database
hs_content_membership_email,Member email,string,contactinformation,Email used to send private content information to members
hs_content_membership_email_confirmed,Email Confirmed,bool,contactinformation,Email Confirmation status of user of Content Membership
hs_content_membership_follow_up_enqueued_at,Time enrolled in registration follow up emails,datetime,contactinformation,The time when the contact was first enrolled in the registration follow up email flow
hs_content_membership_notes,Membership Notes,string,contact_activity,Notes relating to the contact's content membership.
hs_content_membership_registered_at,Registered At,datetime,contactinformation,Datetime at which this user was set up for Content Membership
hs_content_membership_registration_domain_sent_to,Domain to which registration email was sent,string,contactinformation,Domain to which the registration invitation email for Content Membership was sent to
hs_content_membership_registration_email_sent_at,Time registration email was sent,datetime,contactinformation,Datetime at which this user was sent a registration invitation email for Content Membership
hs_content_membership_status,Status,enumeration,contact_activity,Status of the contact's content membership.
hs_conversations_visitor_email,Conversations visitor email,string,contactinformation,A Conversations visitor's email address
hs_count_is_unworked,Count of unengaged contacts,number,contactinformation,"if contact is assigned and unworked, set to 1. if contact is assigned and worked, set to 0."
hs_count_is_worked,Count of engaged contacts,number,contactinformation,"if contact is assigned and worked, set to 1. if contact is assigned and unworked, set to 0."
hs_country_region_code,Country/Region Code,string,contactinformation,The contact's two-letter country code.
hs_created_by_conversations,Created By Conversations,bool,contactinformation,Flag indicating this contact was created by the Conversations API
hs_created_by_user_id,Created by user ID,number,contactinformation,The user who created this record. This value is set automatically by HubSpot.
hs_createdate,Object create date/time,datetime,contactinformation,The date and time at which this object was created. This value is automatically set by HubSpot and may not be modified.
hs_currently_enrolled_in_prospecting_agent,Currently Enrolled in Prospecting Agent,bool,contactinformation,Indicates whether or not the contact has an active prospecting agent enrollment
hs_data_privacy_ads_consent,Ads Consent from Forms,bool,contactinformation,This property captures ads consents from forms and is used by consentmanager to create / update associated data privacy consent objects
hs_date_entered_customer,Date entered 'Cliente (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Cliente' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_evangelist,Date entered 'Evangelizador (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Evangelizador' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_lead,Date entered 'Lead (Pipeline de etapa del ciclo de vida)',datetime,contact_activity,"The date and time when the contact entered the 'Lead' stage, 'Pipeline de etapa del ciclo de vida' pipeline"
hs_date_entered_marketingqualifiedlead,Date entered 'Marketing Qualified Lead (Lifecycle Stage Pipeline)',datetime,contact_activity,"The date and time when the contact entered the 'Marketing Qualified Lead' stage, 'Lifecycle Stage Pipeline' pipeline"
